Disease,Province,Age_Group,Gender,Reported_Cases,Deaths,Hospitalized,Recovered,Month,Year,Season,Urban_Rural,Vaccinated,Travel_History,Comorbidity,Quarantined,ICU_Admission,Symptom_Fever,Symptom_Cough,Symptom_Rash,Contact_Tracing,Lab_Confirmed,Follow_Up,Days_Hospitalized,Region_Code
Typhoid,Beijing,65+,Female,24,0,1,1,8,2018,Summer,Rural,1,0,0,0,0,1,0,0,1,1,0,4,763
Brucellosis,Beijing,15-24,Female,29,0,1,1,1,2019,Winter,Urban,1,0,0,1,0,1,0,0,1,1,1,14,570
Rabies,Sichuan,15-24,Female,19,0,1,1,12,2019,Winter,Urban,0,0,0,0,0,1,1,0,0,1,0,9,508
COVID-19,Hunan,65+,Female,21,0,1,1,3,2021,Spring,Urban,1,0,0,0,0,0,1,0,0,1,1,14,328
Mumps,Henan,15-24,Male,10,0,1,1,7,2020,Summer,Rural,0,0,0,0,1,1,1,0,0,1,0,1,688
Chickenpox,Hunan,65+,Female,17,0,1,1,3,2019,Spring,Urban,0,0,0,0,0,1,0,1,1,0,1,23,389
Rabies,Yunnan,15-24,Female,22,0,1,1,8,2022,Summer,Urban,1,0,0,1,0,0,1,0,1,1,0,10,473
Scarlet Fever,Yunnan,25-44,Female,21,0,1,1,5,2018,Spring,Rural,0,0,0,0,0,0,1,0,1,0,0,17,933
Malaria,Shanghai,15-24,Male,26,0,1,0,3,2020,Spring,Urban,0,0,0,0,0,1,1,0,1,1,1,5,299
Hepatitis B,Beijing,65+,Female,25,1,1,0,5,2022,Spring,Rural,1,1,1,0,0,1,0,0,0,1,1,1,686
Syphilis,Shanghai,0-14,Male,23,0,1,1,8,2019,Summer,Rural,1,0,0,0,0,0,0,0,0,1,1,16,421
Tuberculosis,Zhejiang,0-14,Male,18,0,1,1,12,2018,Winter,Rural,1,1,0,1,0,1,0,0,0,1,1,21,969
Brucellosis,Sichuan,65+,Female,22,1,1,0,9,2018,Autumn,Rural,0,0,0,0,0,1,0,1,0,0,1,4,793
Malaria,Sichuan,25-44,Female,16,0,1,1,6,2018,Summer,Rural,1,0,1,1,0,0,0,0,0,1,0,19,865
Chickenpox,Yunnan,15-24,Male,21,0,1,1,10,2022,Autumn,Rural,0,0,0,0,0,1,0,0,0,1,1,13,891
Mumps,Henan,25-44,Female,21,0,0,0,3,2020,Spring,Rural,1,0,1,0,0,1,1,0,0,1,1,0,687
Chickenpox,Hunan,0-14,Male,31,0,0,1,2,2020,Winter,Rural,0,0,0,0,0,0,0,0,0,1,1,0,841
Chickenpox,Beijing,65+,Female,27,0,1,1,11,2022,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,0,8,435
Influenza,Shanghai,65+,Female,18,0,0,1,3,2018,Spring,Rural,0,1,0,1,0,1,0,1,0,1,1,0,278
Influenza,Hunan,25-44,Female,27,1,1,0,9,2018,Autumn,Rural,1,1,0,0,0,1,1,1,0,1,0,17,763
HIV/AIDS,Shanghai,25-44,Female,21,0,1,1,7,2021,Summer,Rural,1,0,1,0,1,0,0,1,0,1,0,0,533
Malaria,Jiangsu,15-24,Female,25,0,1,1,11,2019,Autumn,Rural,1,1,0,0,0,0,1,1,0,1,0,6,972
HIV/AIDS,Zhejiang,45-64,Male,25,1,1,0,11,2019,Autumn,Rural,1,0,0,0,0,0,1,0,0,1,0,29,537
Malaria,Zhejiang,45-64,Male,19,1,1,0,9,2020,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,1,4,884
Brucellosis,Hunan,15-24,Female,15,1,1,0,6,2022,Summer,Rural,1,0,0,0,0,0,0,0,0,1,1,14,579
Rabies,Hunan,45-64,Female,25,1,0,0,8,2018,Summer,Urban,1,1,0,0,0,1,0,0,1,0,1,0,567
Tuberculosis,Hunan,0-14,Female,21,0,1,1,10,2019,Autumn,Urban,0,0,0,0,1,0,0,0,1,1,1,25,596
Chickenpox,Shanghai,45-64,Male,14,1,1,0,11,2022,Autumn,Rural,0,0,0,0,0,1,1,0,0,1,1,12,518
Brucellosis,Jiangsu,15-24,Male,19,0,1,1,9,2022,Autumn,Rural,0,0,0,0,0,1,0,1,0,1,0,13,641
Rabies,Guangdong,45-64,Male,26,0,1,1,3,2018,Spring,Urban,0,1,0,0,0,1,1,0,0,1,1,24,274
Syphilis,Hunan,65+,Male,24,0,1,1,7,2022,Summer,Urban,0,0,1,0,0,1,0,0,1,1,1,3,397
Measles,Henan,25-44,Male,13,0,0,1,9,2019,Autumn,Rural,1,0,0,0,0,1,0,0,0,1,1,0,377
Dysentery,Beijing,0-14,Male,17,1,0,0,2,2021,Winter,Rural,1,0,0,1,0,0,0,0,0,1,1,0,130
Scarlet Fever,Beijing,65+,Male,13,0,1,1,12,2019,Winter,Urban,1,0,0,0,0,1,1,0,1,1,1,12,150
COVID-19,Shanghai,65+,Male,24,0,1,1,7,2021,Summer,Rural,1,0,0,0,0,0,0,1,0,0,1,12,776
Malaria,Hunan,15-24,Female,22,0,1,1,5,2022,Spring,Urban,1,0,0,0,0,0,0,0,0,1,0,17,955
Syphilis,Yunnan,25-44,Male,13,0,0,1,8,2019,Summer,Rural,1,1,0,0,0,1,0,1,1,1,0,0,700
Measles,Sichuan,25-44,Male,22,0,0,1,4,2018,Spring,Urban,1,0,1,0,0,0,1,0,0,1,1,0,735
Mumps,Guangdong,0-14,Male,19,0,1,1,1,2022,Winter,Rural,1,0,0,0,0,1,0,0,0,1,0,1,258
Typhoid,Henan,15-24,Male,24,1,0,0,11,2018,Autumn,Rural,0,0,0,0,0,1,0,0,1,1,0,0,199
Tuberculosis,Jiangsu,0-14,Female,20,0,1,1,10,2021,Autumn,Urban,1,0,0,0,0,0,1,0,1,1,0,10,241
COVID-19,Yunnan,45-64,Male,18,0,1,1,8,2020,Summer,Rural,1,0,1,0,1,1,0,0,0,0,0,24,216
HIV/AIDS,Zhejiang,65+,Female,20,0,0,1,6,2020,Summer,Urban,1,0,0,0,0,0,1,0,0,0,0,0,567
HIV/AIDS,Yunnan,0-14,Female,16,0,1,1,8,2021,Summer,Urban,1,0,0,0,0,0,0,0,0,1,0,27,138
Rabies,Shanghai,65+,Female,18,0,1,1,3,2020,Spring,Urban,1,0,0,1,0,1,0,0,0,1,0,12,447
COVID-19,Guangdong,15-24,Male,18,0,1,0,8,2022,Summer,Rural,1,0,0,0,0,0,0,0,0,0,1,15,265
Influenza,Shandong,45-64,Male,18,0,1,1,8,2022,Summer,Urban,1,0,0,0,0,0,1,0,0,1,0,18,206
Measles,Shandong,15-24,Male,27,0,1,1,12,2019,Winter,Rural,1,1,0,0,0,0,1,0,0,1,0,14,942
Typhoid,Hunan,45-64,Female,17,0,0,1,1,2022,Winter,Urban,1,0,0,1,0,1,1,1,0,1,0,0,885
Syphilis,Hunan,45-64,Female,28,0,1,1,4,2020,Spring,Urban,1,0,0,0,0,0,0,0,1,1,0,11,650
Tuberculosis,Shanghai,65+,Female,21,0,0,1,7,2018,Summer,Urban,1,0,0,0,0,1,1,0,0,1,1,0,694
Brucellosis,Jiangsu,15-24,Female,11,0,1,1,11,2019,Autumn,Urban,0,1,0,1,0,0,0,0,0,1,0,7,603
Measles,Hunan,15-24,Male,14,0,1,1,1,2018,Winter,Rural,1,1,0,0,0,1,0,0,0,1,1,26,422
Typhoid,Sichuan,0-14,Male,24,1,0,0,3,2020,Spring,Rural,1,0,1,0,0,0,0,0,0,1,0,0,908
Dysentery,Guangdong,15-24,Male,18,0,1,1,3,2018,Spring,Rural,1,0,0,0,0,1,0,0,1,1,1,1,913
Malaria,Shanghai,0-14,Female,17,0,1,1,6,2020,Summer,Rural,1,0,0,0,0,0,0,0,1,1,1,21,601
Brucellosis,Beijing,25-44,Female,21,0,1,1,5,2022,Spring,Rural,0,0,0,0,0,0,0,0,0,1,0,7,254
HIV/AIDS,Zhejiang,25-44,Male,20,0,1,1,12,2019,Winter,Rural,1,0,0,0,0,1,0,1,0,1,1,4,221
Brucellosis,Shanghai,25-44,Male,19,0,1,1,11,2021,Autumn,Urban,1,0,1,0,0,1,0,0,0,1,1,23,122
Syphilis,Shanghai,15-24,Female,17,1,0,0,7,2020,Summer,Rural,1,0,0,0,0,1,1,0,0,1,0,0,134
HIV/AIDS,Shandong,15-24,Male,18,1,0,0,3,2022,Spring,Rural,0,0,0,0,0,1,1,0,1,0,1,0,329
Syphilis,Henan,0-14,Male,18,1,1,0,11,2018,Autumn,Rural,0,1,0,0,0,0,0,0,0,1,1,11,590
Rabies,Jiangsu,45-64,Female,12,1,0,0,1,2022,Winter,Rural,0,0,0,0,0,0,1,0,0,1,1,0,240
Influenza,Henan,0-14,Female,26,0,0,1,11,2018,Autumn,Rural,1,0,0,0,0,1,1,0,1,1,0,0,481
Syphilis,Sichuan,25-44,Female,18,0,0,1,3,2018,Spring,Rural,0,0,0,1,0,0,0,0,1,1,1,0,381
HIV/AIDS,Beijing,0-14,Male,22,0,1,1,8,2018,Summer,Urban,1,0,0,0,0,1,0,0,0,1,1,8,305
Rabies,Shandong,45-64,Female,24,1,1,0,5,2018,Spring,Urban,0,0,0,0,0,0,1,0,0,1,0,9,262
Syphilis,Beijing,15-24,Male,21,0,1,1,3,2019,Spring,Rural,0,0,1,1,0,0,1,0,1,1,1,20,524
Dysentery,Sichuan,0-14,Male,23,0,1,1,8,2018,Summer,Urban,0,0,0,0,0,0,0,0,1,1,1,12,233
Brucellosis,Henan,25-44,Female,18,0,1,1,6,2019,Summer,Rural,1,0,1,0,0,0,0,0,0,0,1,9,683
Influenza,Shanghai,25-44,Male,17,1,1,0,3,2021,Spring,Urban,0,0,0,0,0,0,1,0,1,1,0,27,663
Syphilis,Hunan,15-24,Female,20,0,1,1,5,2019,Spring,Rural,1,0,0,1,0,0,0,0,0,1,0,9,587
Rabies,Hunan,0-14,Female,15,0,1,1,1,2018,Winter,Urban,1,0,0,0,0,0,0,0,0,1,0,13,664
Mumps,Yunnan,45-64,Male,20,1,1,0,6,2021,Summer,Urban,0,0,0,1,0,0,0,0,1,1,1,18,594
Measles,Zhejiang,15-24,Male,30,0,1,1,12,2022,Winter,Rural,1,0,1,0,0,1,1,0,0,1,1,18,562
Hepatitis B,Jiangsu,0-14,Female,18,2,0,0,9,2019,Autumn,Rural,1,1,0,0,0,0,0,0,0,0,1,0,786
Typhoid,Sichuan,65+,Female,17,0,1,1,12,2022,Winter,Urban,1,0,0,1,0,1,1,0,0,1,0,1,179
Hepatitis B,Zhejiang,25-44,Female,17,0,0,1,7,2021,Summer,Rural,0,1,0,1,0,0,0,1,0,1,0,0,192
Mumps,Jiangsu,45-64,Female,19,1,1,0,11,2019,Autumn,Rural,1,0,0,0,1,0,1,1,0,1,0,0,163
Hepatitis B,Zhejiang,45-64,Female,27,0,0,1,8,2018,Summer,Rural,1,0,0,0,0,0,0,0,0,1,0,0,645
Mumps,Henan,45-64,Female,14,0,0,1,6,2019,Summer,Rural,0,1,1,0,0,0,0,0,1,1,1,0,609
Tuberculosis,Jiangsu,25-44,Male,13,0,0,1,11,2018,Autumn,Rural,1,0,1,0,0,1,1,0,0,1,0,0,384
Mumps,Henan,0-14,Male,14,0,1,1,5,2020,Spring,Rural,1,0,0,0,0,1,1,1,0,1,0,29,518
Mumps,Shanghai,15-24,Male,18,0,0,1,12,2019,Winter,Urban,0,0,0,0,0,1,1,0,0,0,0,0,915
Chickenpox,Shandong,0-14,Male,26,0,0,1,6,2019,Summer,Rural,1,1,0,0,0,1,0,0,0,1,0,0,813
Mumps,Henan,15-24,Female,23,0,0,1,7,2022,Summer,Rural,1,0,0,0,0,0,0,0,0,0,1,0,727
Dysentery,Hunan,45-64,Male,16,1,1,0,9,2022,Autumn,Urban,1,0,0,0,0,0,0,0,0,0,1,9,292
Measles,Zhejiang,0-14,Male,12,0,1,1,8,2021,Summer,Urban,0,0,1,0,0,0,0,0,1,1,1,1,552
Malaria,Yunnan,45-64,Female,16,0,1,1,5,2018,Spring,Urban,0,0,1,0,1,0,1,0,1,1,0,7,550
Syphilis,Guangdong,65+,Male,14,0,1,1,7,2022,Summer,Rural,0,1,0,1,0,1,0,1,0,1,1,4,458
Typhoid,Jiangsu,45-64,Female,20,0,0,1,8,2021,Summer,Urban,1,0,1,0,0,1,0,0,0,1,1,0,497
Influenza,Sichuan,45-64,Female,21,1,1,0,1,2018,Winter,Urban,1,0,0,1,0,1,1,1,0,1,1,18,273
Measles,Yunnan,15-24,Female,15,0,1,1,8,2018,Summer,Urban,1,0,0,1,0,1,1,1,1,1,0,26,126
HIV/AIDS,Hunan,65+,Female,14,1,1,0,11,2018,Autumn,Urban,0,0,0,0,0,1,0,0,0,0,1,29,512
Malaria,Henan,45-64,Female,23,0,1,1,7,2020,Summer,Urban,1,0,0,0,1,1,1,0,0,0,0,24,356
Tuberculosis,Shandong,45-64,Male,17,0,1,1,11,2018,Autumn,Urban,1,0,0,1,1,1,0,0,0,1,1,1,949
Tuberculosis,Shanghai,65+,Male,19,0,1,1,12,2021,Winter,Urban,0,0,0,1,0,0,0,0,0,0,1,19,742
Scarlet Fever,Guangdong,65+,Male,22,0,1,1,12,2018,Winter,Urban,0,0,0,0,0,1,0,0,0,1,0,22,637
Brucellosis,Beijing,0-14,Female,23,0,1,1,2,2018,Winter,Rural,0,0,0,1,0,1,0,0,1,1,0,23,504
Mumps,Yunnan,15-24,Male,17,0,1,0,2,2021,Winter,Rural,1,0,0,0,0,1,1,0,0,1,1,10,729
Measles,Shandong,65+,Male,25,0,0,1,12,2019,Winter,Urban,1,0,0,0,0,1,1,0,0,1,0,0,891
Rabies,Beijing,65+,Male,16,1,0,0,6,2018,Summer,Rural,1,1,0,0,0,0,0,0,0,1,0,0,400
Chickenpox,Guangdong,25-44,Male,20,0,0,1,3,2021,Spring,Rural,0,0,0,0,0,0,1,0,1,1,0,0,727
Hepatitis B,Sichuan,65+,Female,23,0,1,1,1,2022,Winter,Rural,0,0,0,0,0,1,0,1,0,1,0,8,850
HIV/AIDS,Sichuan,15-24,Male,19,0,1,0,8,2021,Summer,Urban,0,0,0,0,0,1,0,0,1,1,1,7,823
Tuberculosis,Zhejiang,45-64,Female,27,0,1,1,7,2020,Summer,Urban,1,0,0,0,0,0,0,0,1,1,0,5,512
Typhoid,Guangdong,45-64,Female,23,1,0,0,4,2022,Spring,Rural,0,0,0,0,0,1,1,0,1,1,1,0,117
Tuberculosis,Guangdong,45-64,Male,21,0,0,1,1,2019,Winter,Urban,1,0,0,0,0,1,0,1,0,1,0,0,742
Influenza,Beijing,45-64,Female,19,0,1,1,2,2019,Winter,Rural,0,0,0,0,1,0,0,0,1,1,0,7,995
Syphilis,Shandong,25-44,Female,16,0,0,1,9,2021,Autumn,Urban,1,1,1,0,0,1,1,0,0,0,1,0,722
Tuberculosis,Jiangsu,65+,Female,16,0,1,1,4,2021,Spring,Rural,1,0,0,0,0,1,1,0,0,1,1,26,227
Influenza,Beijing,45-64,Female,14,0,1,1,3,2018,Spring,Urban,1,0,0,0,0,1,1,1,1,1,1,25,213
Measles,Shanghai,0-14,Female,17,0,1,1,8,2018,Summer,Urban,1,0,0,1,0,1,1,0,0,1,1,23,836
Measles,Sichuan,45-64,Female,23,1,1,0,4,2020,Spring,Rural,1,0,0,0,0,1,0,0,0,1,0,2,245
Chickenpox,Sichuan,65+,Female,22,0,1,1,7,2018,Summer,Rural,1,0,0,1,0,1,0,0,0,1,1,22,987
Brucellosis,Zhejiang,45-64,Male,26,0,0,1,5,2021,Spring,Rural,1,0,1,0,0,0,1,0,0,1,1,0,290
Scarlet Fever,Shanghai,25-44,Male,19,0,1,1,5,2021,Spring,Rural,1,0,0,0,0,1,0,0,1,1,0,27,719
Malaria,Sichuan,15-24,Female,25,0,1,1,11,2018,Autumn,Urban,0,0,0,0,0,1,0,1,1,1,0,21,630
Tuberculosis,Beijing,15-24,Female,20,1,0,0,6,2020,Summer,Urban,1,0,0,0,0,0,0,1,0,1,0,0,250
Typhoid,Shanghai,65+,Male,16,1,1,0,12,2021,Winter,Rural,0,1,0,0,1,0,1,0,0,1,1,5,951
Tuberculosis,Beijing,15-24,Male,14,0,1,1,4,2020,Spring,Rural,0,0,0,0,0,1,1,0,1,1,1,6,794
Scarlet Fever,Jiangsu,15-24,Male,15,0,1,1,2,2021,Winter,Urban,1,0,0,1,0,0,0,0,0,1,1,28,891
COVID-19,Jiangsu,0-14,Male,23,0,1,0,6,2020,Summer,Urban,1,0,0,1,0,0,0,0,0,1,1,12,566
Typhoid,Sichuan,65+,Female,10,0,1,0,5,2020,Spring,Urban,1,0,1,1,1,0,0,0,0,1,1,19,253
Dysentery,Sichuan,65+,Female,15,0,1,1,3,2020,Spring,Urban,1,0,1,0,0,1,1,0,0,1,0,25,324
Mumps,Shandong,15-24,Male,16,1,1,0,4,2018,Spring,Rural,0,1,0,0,0,1,0,1,0,1,1,28,603
Malaria,Jiangsu,15-24,Male,21,0,1,1,3,2019,Spring,Rural,1,0,0,0,0,0,0,0,0,1,1,25,665
Dysentery,Yunnan,15-24,Male,24,0,0,0,3,2020,Spring,Urban,1,1,0,0,0,1,0,0,0,1,1,0,710
COVID-19,Yunnan,25-44,Male,28,1,0,0,4,2020,Spring,Urban,1,0,0,0,0,0,0,0,0,1,1,0,700
COVID-19,Zhejiang,45-64,Female,19,0,1,1,2,2021,Winter,Rural,1,0,0,0,1,1,0,0,0,0,0,0,772
Scarlet Fever,Jiangsu,25-44,Male,25,1,1,0,4,2019,Spring,Rural,0,0,0,0,0,0,0,0,0,1,0,15,156
Tuberculosis,Beijing,65+,Male,18,0,1,1,10,2021,Autumn,Urban,1,0,0,1,0,1,0,1,0,1,1,24,733
Scarlet Fever,Beijing,0-14,Male,15,1,1,0,11,2021,Autumn,Rural,1,0,0,0,1,1,0,1,0,1,0,0,980
Scarlet Fever,Hunan,45-64,Female,19,0,1,1,2,2020,Winter,Rural,1,0,0,1,0,0,1,0,1,1,0,6,492
COVID-19,Shanghai,0-14,Female,20,0,1,1,10,2022,Autumn,Urban,0,1,0,1,0,0,1,1,0,1,1,14,200
Malaria,Henan,65+,Female,21,0,0,1,8,2019,Summer,Rural,1,1,0,0,0,1,1,0,0,0,0,0,931
Dysentery,Yunnan,65+,Male,13,0,1,0,10,2021,Autumn,Urban,1,0,0,0,0,1,1,0,0,0,0,4,840
Hepatitis B,Sichuan,0-14,Male,26,0,1,0,5,2022,Spring,Urban,1,0,0,0,0,1,0,0,1,0,1,1,302
Tuberculosis,Zhejiang,0-14,Male,17,1,0,0,7,2022,Summer,Urban,1,0,0,0,0,1,1,0,0,1,0,0,696
COVID-19,Henan,0-14,Female,26,1,0,0,11,2021,Autumn,Rural,0,0,0,1,0,1,0,1,1,1,1,0,158
Dysentery,Guangdong,65+,Female,21,0,1,1,4,2020,Spring,Rural,1,0,0,0,0,0,0,0,0,1,0,19,308
Brucellosis,Zhejiang,15-24,Male,20,0,1,1,10,2018,Autumn,Rural,0,0,0,0,0,0,0,0,1,0,0,4,115
Hepatitis B,Guangdong,0-14,Male,24,0,1,1,6,2021,Summer,Urban,1,0,0,0,0,0,1,0,0,1,0,11,655
Hepatitis B,Jiangsu,45-64,Female,27,0,1,1,12,2020,Winter,Rural,1,0,0,0,1,0,0,0,0,1,1,0,657
Measles,Guangdong,65+,Male,24,0,1,1,10,2019,Autumn,Rural,0,0,0,0,0,0,0,1,0,1,0,29,865
Chickenpox,Guangdong,25-44,Male,12,1,1,0,4,2020,Spring,Urban,1,0,1,0,0,0,1,0,0,1,1,26,432
Tuberculosis,Shandong,25-44,Male,22,0,0,1,6,2022,Summer,Rural,0,1,0,0,0,0,0,1,0,1,0,0,594
Hepatitis B,Shandong,45-64,Female,18,0,1,1,1,2019,Winter,Rural,1,0,1,1,0,1,0,0,0,0,1,17,669
Measles,Jiangsu,0-14,Male,22,1,0,0,6,2018,Summer,Rural,1,1,0,1,0,0,1,0,0,1,1,0,840
Dysentery,Henan,65+,Male,20,0,1,1,2,2018,Winter,Rural,1,0,0,1,0,1,1,0,1,1,0,28,419
Brucellosis,Zhejiang,0-14,Male,15,0,0,1,12,2021,Winter,Rural,1,0,0,0,0,1,0,0,0,0,0,0,307
Influenza,Zhejiang,65+,Female,23,0,1,1,10,2020,Autumn,Rural,1,0,0,0,0,1,1,0,0,1,1,19,937
Tuberculosis,Sichuan,25-44,Female,16,0,0,0,10,2021,Autumn,Rural,0,0,0,0,0,1,0,0,1,1,1,0,832
Malaria,Shandong,0-14,Female,21,0,0,1,9,2018,Autumn,Rural,1,1,1,0,0,1,1,0,0,1,0,0,482
Scarlet Fever,Jiangsu,45-64,Male,22,0,1,1,6,2022,Summer,Urban,0,0,0,0,0,0,0,0,0,1,1,25,671
Typhoid,Sichuan,15-24,Female,14,0,0,1,12,2018,Winter,Urban,1,1,0,0,0,0,1,0,1,1,1,0,380
Typhoid,Shanghai,45-64,Male,18,0,0,1,11,2020,Autumn,Urban,1,0,1,0,0,1,0,0,0,1,1,0,954
Dysentery,Sichuan,15-24,Female,23,1,1,0,7,2022,Summer,Rural,0,0,0,0,0,1,1,1,0,1,1,24,878
Rabies,Henan,0-14,Male,22,0,1,1,2,2021,Winter,Urban,0,0,0,1,0,0,0,0,1,1,1,28,448
Rabies,Yunnan,0-14,Female,23,0,1,1,2,2021,Winter,Urban,1,0,0,0,0,1,1,0,0,1,1,3,952
Dysentery,Guangdong,15-24,Female,24,0,1,1,2,2018,Winter,Urban,0,0,0,1,0,0,0,0,0,1,0,26,418
Hepatitis B,Yunnan,65+,Male,28,0,0,1,11,2021,Autumn,Urban,0,0,0,0,0,1,0,0,1,1,0,0,765
Chickenpox,Sichuan,45-64,Male,16,0,1,1,9,2021,Autumn,Rural,0,0,0,0,0,1,1,0,0,1,1,26,140
Tuberculosis,Jiangsu,45-64,Male,16,0,1,1,3,2019,Spring,Urban,0,1,0,0,0,0,1,0,0,1,0,25,408
Typhoid,Guangdong,45-64,Female,25,1,1,0,4,2020,Spring,Urban,1,1,0,1,1,1,0,0,0,0,1,7,814
Typhoid,Zhejiang,0-14,Male,17,1,1,0,1,2019,Winter,Urban,0,0,1,0,0,0,0,0,1,1,0,29,841
Chickenpox,Beijing,45-64,Male,19,0,1,1,1,2019,Winter,Urban,1,1,1,1,0,0,1,0,0,1,1,19,251
Hepatitis B,Guangdong,65+,Male,23,0,1,1,4,2021,Spring,Rural,1,0,0,0,0,1,1,0,0,1,0,19,948
Typhoid,Henan,65+,Male,12,1,1,0,2,2020,Winter,Urban,1,1,0,0,0,0,0,0,0,1,0,2,556
Scarlet Fever,Henan,15-24,Male,18,0,0,1,8,2021,Summer,Urban,0,1,0,1,0,0,0,0,0,1,1,0,555
Malaria,Sichuan,0-14,Male,24,0,1,1,4,2019,Spring,Urban,1,1,0,0,0,1,0,0,0,1,0,8,193
Tuberculosis,Shanghai,65+,Female,13,1,1,0,3,2019,Spring,Rural,0,0,0,0,1,0,0,0,0,1,1,19,490
Syphilis,Henan,25-44,Female,13,2,1,0,3,2021,Spring,Urban,1,0,0,0,0,1,0,0,0,1,0,1,739
Typhoid,Henan,0-14,Male,18,0,0,1,6,2018,Summer,Urban,1,1,0,0,0,0,0,0,0,1,0,0,328
Dysentery,Jiangsu,0-14,Female,21,0,0,1,12,2018,Winter,Rural,1,0,0,0,0,0,0,0,1,1,0,0,596
Malaria,Sichuan,65+,Female,20,0,0,1,6,2021,Summer,Rural,1,0,0,0,0,0,0,0,1,1,0,0,570
Typhoid,Guangdong,25-44,Male,17,1,1,0,6,2022,Summer,Urban,0,0,0,0,1,1,1,0,0,1,1,27,684
Mumps,Shanghai,15-24,Male,21,1,1,0,6,2022,Summer,Urban,1,0,0,0,0,1,0,0,0,1,0,1,182
Brucellosis,Yunnan,65+,Female,26,0,1,1,8,2018,Summer,Urban,0,0,0,0,0,0,1,0,0,1,0,23,847
Scarlet Fever,Beijing,25-44,Male,17,0,1,0,8,2020,Summer,Urban,1,1,0,0,0,0,0,0,0,1,1,28,291
Malaria,Shandong,0-14,Female,13,0,1,1,9,2019,Autumn,Rural,0,0,0,1,0,0,0,0,0,1,1,28,555
Measles,Zhejiang,25-44,Female,18,0,0,1,1,2020,Winter,Urban,0,0,0,1,0,0,0,0,0,1,0,0,979
Syphilis,Henan,0-14,Female,15,1,1,0,10,2018,Autumn,Urban,1,0,0,0,0,0,1,0,0,1,0,4,145
Brucellosis,Sichuan,65+,Male,19,0,1,1,8,2021,Summer,Urban,1,1,1,1,0,0,1,0,0,1,0,12,561
HIV/AIDS,Shandong,65+,Female,20,0,1,1,5,2022,Spring,Rural,1,0,0,1,1,0,0,0,0,1,0,0,662
Dysentery,Zhejiang,45-64,Male,14,0,1,1,3,2018,Spring,Rural,1,0,0,1,1,1,0,1,0,1,0,7,831
Dysentery,Zhejiang,45-64,Male,20,0,1,1,11,2020,Autumn,Urban,1,0,0,0,0,0,0,0,0,0,1,29,710
Tuberculosis,Yunnan,45-64,Male,18,0,1,1,10,2020,Autumn,Rural,0,0,0,1,0,0,1,0,0,1,0,6,897
Chickenpox,Yunnan,65+,Male,17,0,1,1,3,2018,Spring,Urban,0,0,0,1,0,0,1,1,0,0,1,22,200
Brucellosis,Yunnan,15-24,Male,13,1,0,0,6,2019,Summer,Urban,1,0,0,0,0,0,0,0,0,1,1,0,755
Malaria,Hunan,65+,Female,31,0,1,1,8,2020,Summer,Rural,0,0,0,0,0,1,0,0,1,1,0,7,334
Hepatitis B,Hunan,25-44,Male,31,1,0,0,10,2019,Autumn,Rural,1,1,0,0,0,0,0,0,0,1,0,0,986
Dysentery,Zhejiang,65+,Male,26,0,0,1,2,2019,Winter,Rural,1,0,0,0,0,0,1,0,1,1,0,0,412
Malaria,Yunnan,65+,Male,29,0,0,0,12,2021,Winter,Urban,1,0,0,0,0,1,1,0,1,1,1,0,461
Malaria,Henan,0-14,Male,16,1,1,0,5,2018,Spring,Urban,1,0,0,0,1,0,1,1,0,0,1,4,884
Mumps,Shandong,65+,Male,19,0,1,1,1,2021,Winter,Urban,0,0,0,0,1,0,0,0,0,0,0,4,347
Influenza,Hunan,15-24,Male,31,1,0,0,6,2020,Summer,Urban,0,0,0,1,0,0,0,1,1,1,0,0,362
Influenza,Zhejiang,25-44,Female,26,0,1,1,11,2020,Autumn,Urban,0,0,0,0,0,1,1,0,0,1,0,25,262
HIV/AIDS,Sichuan,25-44,Male,16,1,0,0,11,2018,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,0,0,732
Measles,Guangdong,15-24,Female,15,1,1,0,5,2019,Spring,Rural,1,1,0,0,0,1,0,1,0,1,0,12,296
HIV/AIDS,Guangdong,15-24,Female,19,0,1,1,7,2021,Summer,Rural,1,0,0,0,0,1,1,0,0,1,1,27,958
COVID-19,Hunan,25-44,Female,19,0,0,1,7,2021,Summer,Urban,0,0,0,0,0,1,1,0,1,1,0,0,641
Brucellosis,Sichuan,45-64,Female,23,0,1,1,4,2020,Spring,Rural,1,1,0,0,0,1,0,0,0,1,1,16,783
Typhoid,Hunan,0-14,Male,19,0,0,1,5,2020,Spring,Rural,1,0,0,0,0,0,0,0,0,1,1,0,717
Hepatitis B,Guangdong,0-14,Male,20,1,1,0,10,2022,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,1,26,582
Typhoid,Sichuan,25-44,Female,24,1,0,0,8,2022,Summer,Rural,0,1,0,0,0,0,0,0,0,1,0,0,307
Rabies,Yunnan,15-24,Female,26,0,1,1,2,2019,Winter,Urban,1,0,0,1,0,1,0,0,1,0,0,18,667
Typhoid,Zhejiang,45-64,Male,16,0,1,1,1,2022,Winter,Rural,0,0,0,0,1,0,1,1,0,1,0,0,235
Tuberculosis,Shandong,25-44,Female,21,0,1,1,6,2021,Summer,Urban,1,1,1,1,0,1,1,0,0,1,0,29,480
